Methods,Block Size,Time (ns),Current (nA),Voltage (mV),Energy (uJ),cnt
aes_sw_128,128,134092719000,2123200,3291,950253.9,1000
aes_sw_192,128,177405791000,2175100,3292,1255019.1,1000
aes_sw_256,128,190551208000,2120500,3292,1350651.5,1000
aes_acc_128,128,18863552000,2107800,3291,132360.0,10000
aes_acc_192,128,22838105000,2158500,3290,160841.3,10000
aes_acc_256,128,26096566000,2157100,3293,183652.1,10000
aes_acc_dma_128,128,13753333000,2120000,3293,97289.1,10000
aes_acc_dma_192,128,16808801000,2174800,3293,118960.2,10000
aes_acc_dma_256,128,20529324000,2176400,3293,145416.9,10000

aes_sw_128,256,135514961000,2121700,3292,959964.5,1000
aes_sw_192,256,178423834000,2174800,3291,1262567.4,1000
aes_sw_256,256,191744247000,2230100,3291,1362454.1,1000
aes_acc_128,256,24998310000,2107000,3292,174994.4,10000
aes_acc_192,256,28079184000,2106000,3290,196525.7,10000
aes_acc_256,256,31120770000,2120900,3291,217881.0,10000
aes_acc_dma_128,256,24919333000,2011600,3291,166979.0,10000
aes_acc_dma_192,256,28285353000,1999900,3293,189332.0,10000
aes_acc_dma_256,256,31054723000,206540",3291,208049.0,10000

