Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3278","38.1"
"1080000","0","3290","45.1"
"2160000","2024200","3296","52.2"
"3240000","2024200","3295","60.7"
"4326000","2024200","3292","67.7"
"5660000","2024200","3288","76.2"
"6741000","2024200","3294","83.2"
"7820000","2024200","3294","91.7"
"8901000","2024200","3292","98.8"
"9979000","2079500","3291","105.8"
"11313000","2079500","3291","114.3"
"12394000","2079500","3291","122.8"
"13473000","2079500","3290","129.8"
"14558000","2079500","3289","136.9"
"15637000","2079500","3290","144.0"
"16973000","2079500","3290","153.8"
"18053000","2066700","3290","160.9"
"19132000","2066700","3289","168.0"
"20213000","2066700","3290","175.0"
"21292000","2066700","3289","182.1"
"22627000","2066700","3290","192.0"
"23705000","2066700","3290","199.0"
"24790000","2066700","3289","206.1"
"25869000","2025100","3289","213.1"
"26950000","2025100","3289","221.6"
"28285000","2025100","3289","230.1"
"29366000","2025100","3290","237.1"
"30446000","2025100","3289","244.2"
"31525000","2025100","3291","251.3"
"32605000","2025100","3291","259.7"
"33939000","2067800","3291","268.2"
"35025000","2067800","3291","275.3"
"36106000","2067800","3292","282.3"
"37186000","2067800","3292","290.8"
"38266000","2067800","3291","297.9"
"39602000","2067800","3291","306.3"
"40682000","2067800","3292","313.4"
"41766000","2077500","3292","321.9"
"42845000","2077500","3291","328.9"
"43924000","2077500","3291","336.0"
"45264000","2077500","3292","344.4"
"46344000","2077500","3292","352.9"
"47424000","2077500","3292","360.0"
"48504000","2077500","3291","367.0"
"49584000","2024600","3292","374.1"
"50920000","2024600","3292","384.0"
"52001000","2024600","3292","391.0"
"53080000","2024600","3291","398.1"
"54159000","2024600","3292","405.2"
"55245000","2024600","3291","412.2"
"56581000","2024600","3292","422.1"
"57659000","2066500","3291","429.2"
"58739000","2066500","3291","436.2"
"59818000","2066500","3291","443.3"
"60898000","2066500","3291","451.8"
"62234000","2066500","3291","460.2"
"63313000","2066500","3290","467.3"
"64399000","2066500","3290","474.3"
"65479000","2024100","3291","481.4"
"66559000","2024100","3291","489.9"
"67895000","2024100","3291","498.3"
"68975000","2024100","3291","505.4"
"70056000","2024100","3291","512.5"
"71135000","2024100","3292","520.9"
"72214000","2024100","3292","528.0"
"73550000","2067500","3291","536.5"
"74635000","2067500","3292","543.5"
"75715000","2067500","3293","552.0"
"76794000","2067500","3292","559.1"
"77873000","2067500","3292","566.1"
"79208000","2067500","3292","574.6"
"80288000","2067500","3292","583.1"
"81368000","2079700","3292","590.1"
"82449000","2079700","3292","597.2"
"83533000","2079700","3292","604.2"
"84874000","2079700","3293","614.1"
"85955000","2079700","3292","621.2"
"87035000","2079700","3292","628.2"
"88115000","2079700","3291","635.3"
"89194000","2022600","3291","642.4"
"90529000","2022600","3292","652.2"
"91608000","2022600","3291","659.3"
"92688000","2022600","3291","666.4"
"93767000","2022600","3291","673.4"
"94852000","2022600","3291","680.5"
"96186000","2022600","3291","690.4"
"97266000","2067300","3290","697.4"
"98346000","2067300","3290","704.5"
"99427000","2067300","3290","711.5"
"100506000","2067300","3291","720.0"
"101840000","2067300","3290","728.5"
"102920000","2067300","3290","735.5"
"104000000","2067300","3290","742.6"
"105086000","2079200","3290","751.1"
"106165000","2079200","3290","758.1"
"107499000","2079200","3289","766.6"
"108579000","2079200","3289","773.7"
"109658000","2079200","3290","782.1"
"110738000","2079200","3289","789.2"
"111817000","2079200","3289","796.3"
"113152000","2015400","3289","804.7"
"114232000","2015400","3289","813.2"
"115317000","2015400","3289","820.3"
"116397000","2015400","3289","827.3"
"117476000","2015400","3289","834.4"
"118812000","2015400","3289","844.3"
"119892000","2015400","3290","851.3"
"120972000","2079200","3289","858.4"
"122051000","2079200","3289","865.4"
"123132000","2079200","3289","872.5"
"124472000","2079200","3289","882.4"
"125556000","2079200","3289","889.4"
