Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3308","38.1"
"1080000","0","3298","46.5"
"2160000","2080200","3291","53.6"
"3240000","2080200","3294","60.7"
"4319000","2080200","3290","67.7"
"5654000","2080200","3293","77.6"
"6734000","2080200","3292","84.7"
"7818000","2080200","3289","91.7"
"8897000","2080200","3294","98.8"
"9977000","2080000","3294","107.3"
"11312000","2080000","3293","115.7"
"12396000","2080000","3294","122.8"
"13477000","2080000","3294","129.8"
"14556000","2080000","3294","138.3"
"15635000","2080000","3293","145.4"
"16971000","2080000","3293","153.8"
"18056000","2065500","3293","162.3"
"19135000","2065500","3292","169.4"
"20214000","2065500","3291","176.4"
"21294000","2065500","3292","183.5"
"22629000","2065500","3292","193.4"
"23708000","2065500","3291","200.4"
"24788000","2065500","3292","207.5"
"25867000","2026400","3291","214.6"
"26946000","2026400","3292","223.0"
"28287000","2026400","3292","231.5"
"29366000","2026400","3291","238.6"
"30445000","2026400","3291","245.6"
"31524000","2026400","3291","254.1"
"32604000","2026400","3291","261.2"
"33938000","2067500","3290","269.6"
"35017000","2067500","3291","276.7"
"36095000","2067500","3291","285.2"
"37174000","2067500","3291","292.2"
"38258000","2067500","3291","299.3"
"39593000","2067500","3291","309.2"
"40672000","2067500","3291","316.2"
"41752000","2080900","3290","323.3"
"42831000","2080900","3290","330.3"
"43910000","2080900","3291","337.4"
"45245000","2080900","3291","347.3"
"46324000","2080900","3290","354.3"
"47403000","2080900","3290","361.4"
"48488000","2080900","3291","368.5"
"49566000","2080700","3290","376.9"
"50901000","2080700","3290","385.4"
"51980000","2080700","3290","392.5"
"53059000","2080700","3290","400.9"
"54143000","2080700","3290","408.0"
"55221000","2080700","3290","415.1"
"56555000","2080700","3290","423.5"
"57635000","2068000","3290","432.0"
"58720000","2068000","3290","439.1"
"59800000","2068000","3290","446.1"
"60879000","2068000","3290","453.2"
"62213000","2068000","3290","463.1"
"63293000","2068000","3290","470.1"
"64373000","2068000","3290","477.2"
"65452000","2024900","3290","484.2"
"66532000","2024900","3290","492.7"
"67872000","2024900","3290","501.2"
"68951000","2024900","3291","508.2"
"70031000","2024900","3291","516.7"
"71111000","2024900","3290","523.8"
"72189000","2024900","3290","530.8"
"73524000","2120700","3291","540.7"
"74602000","2120700","3291","547.8"
"75681000","2120700","3291","554.8"
"76761000","2120700","3291","561.9"
"77845000","2120700","3291","569.0"
"79179000","2120700","3291","578.9"
"80257000","2120700","3291","585.9"
"81336000","2026100","3290","593.0"
"82415000","2026100","3292","600.0"
"83495000","2026100","3291","608.5"
"84830000","2026100","3291","617.0"
"85910000","2026100","3291","624.0"
"86989000","2026100","3291","632.5"
"88073000","2026100","3291","639.6"
"89153000","2080000","3291","646.6"
"90488000","2080000","3292","656.5"
"91568000","2080000","3291","663.6"
"92647000","2080000","3291","670.6"
"93726000","2080000","3292","677.7"
"94806000","2080000","3291","684.7"
"96144000","2080000","3291","694.6"
"97225000","2067300","3291","701.7"
"98308000","2067300","3291","708.7"
"99387000","2067300","3292","717.2"
"100466000","2067300","3291","724.3"
"101801000","2067300","3291","732.8"
"102879000","2067300","3292","739.8"
"103959000","2067300","3291","748.3"
"105039000","2080900","3291","755.3"
"106118000","2080900","3292","762.4"
"107453000","2080900","3292","772.3"
"108537000","2080900","3292","779.3"
"109616000","2080900","3292","786.4"
"110695000","2080900","3292","793.5"
"111775000","2080900","3292","800.5"
"113109000","2067600","3292","810.4"
"114187000","2067600","3292","817.5"
"115266000","2067600","3292","824.5"
"116345000","2067600","3291","831.6"
"117424000","2067600","3291","840.1"
"118765000","2067600","3291","848.5"
"119844000","2067600","3291","855.6"
"120925000","2080400","3292","864.1"
