Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3300","38.1"
"1080000","0","3292","46.5"
"2159000","2080400","3285","53.6"
"3238000","2080400","3296","60.7"
"4317000","2080400","3295","69.1"
"5652000","2080400","3296","77.6"
"6731000","2080400","3295","86.1"
"7810000","2080400","3292","93.1"
"8895000","2080400","3294","101.6"
"9974000","2135900","3293","108.7"
"11308000","2135900","3292","118.6"
"12387000","2135900","3291","125.6"
"13466000","2135900","3291","132.7"
"14545000","2135900","3291","141.2"
"15624000","2135900","3290","148.2"
"16960000","2135900","3293","156.7"
"18044000","2121100","3293","165.2"
"19129000","2121100","3292","172.2"
"20209000","2121100","3293","179.3"
"21289000","2121100","3293","187.8"
"22624000","2121100","3293","197.7"
"23703000","2121100","3292","204.7"
"24783000","2121100","3293","211.8"
"25862000","2134800","3292","220.3"
"26942000","2134800","3292","227.3"
"28277000","2134800","3293","237.2"
"29362000","2134800","3292","244.3"
"30441000","2134800","3292","251.3"
"31521000","2134800","3293","259.8"
"32600000","2134800","3292","266.9"
"33935000","2067100","3292","275.3"
"35014000","2067100","3292","283.8"
"36093000","2067100","3292","290.9"
"37173000","2067100","3292","297.9"
"38253000","2067100","3292","306.4"
"39593000","2067100","3292","316.3"
"40672000","2067100","3292","323.3"
"41752000","2135200","3292","330.4"
"42831000","2135200","3292","338.9"
"43910000","2135200","3291","345.9"
"45245000","2135200","3292","355.8"
"46324000","2135200","3292","362.9"
"47403000","2135200","3291","369.9"
"48488000","2135200","3292","378.4"
"49567000","2135500","3292","385.5"
"50902000","2135500","3291","393.9"
"51981000","2135500","3292","402.4"
"53060000","2135500","3291","409.5"
"54139000","2135500","3291","416.5"
"55218000","2135500","3291","425.0"
"56552000","2135500","3291","433.5"
"57631000","2122900","3292","442.0"
"58715000","2122900","3292","449.0"
"59794000","2122900","3291","456.1"
"60879000","2122900","3291","464.6"
"62214000","2122900","3290","473.0"
"63293000","2122900","3291","481.5"
"64373000","2122900","3291","488.6"
"65452000","2078800","3291","495.6"
"66532000","2078800","3292","502.7"
