Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3283","39.5"
"1083000","0","3285","48.0"
"2163000","2133900","3282","55.0"
"3242000","2133900","3286","62.1"
"4322000","2133900","3285","70.6"
"5656000","2133900","3286","80.5"
"6734000","2133900","3285","87.5"
"7819000","2133900","3287","94.6"
"8898000","2133900","3286","103.1"
"9977000","2135900","3285","110.1"
"11312000","2135900","3287","120.0"
"12391000","2135900","3286","127.1"
"13470000","2135900","3290","134.1"
"14550000","2135900","3290","142.6"
"15628000","2135900","3288","149.6"
"16962000","2135900","3290","159.5"
"18047000","2121200","3289","166.6"
"19127000","2121200","3290","175.1"
"20205000","2121200","3290","182.1"
"21284000","2121200","3291","190.6"
"22619000","2121200","3290","199.1"
"23698000","2121200","3291","207.6"
"24778000","2121200","3291","214.6"
"25858000","2192100","3292","223.1"
"26937000","2192100","3292","230.2"
"28277000","2192100","3291","240.0"
"29356000","2192100","3291","247.1"
"30435000","2192100","3291","254.2"
"31515000","2192100","3291","262.6"
"32594000","2192100","3290","269.7"
"33929000","2120900","3291","279.6"
"35008000","2120900","3291","286.6"
"36087000","2120900","3291","295.1"
"37172000","2120900","3290","302.2"
"38251000","2120900","3291","309.2"
"39586000","2120900","3291","319.1"
"40665000","2120900","3291","327.6"
"41744000","2135500","3290","334.7"
"42827000","2135500","3291","341.7"
"43907000","2135500","3291","350.2"
"45241000","2135500","3291","358.7"
"46320000","2135500","3291","367.2"
"47405000","2135500","3291","374.2"
"48484000","2135500","3291","382.7"
"49563000","2134600","3291","389.7"
"50897000","2134600","3291","399.6"
"51977000","2134600","3291","406.7"
"53056000","2134600","3292","413.7"
"54135000","2134600","3292","422.2"
"55216000","2134600","3291","429.3"
"56550000","2134600","3292","439.2"
"57634000","2120900","3292","446.2"
"58715000","2120900","3292","454.7"
"59793000","2120900","3292","461.8"
"60873000","2120900","3293","470.3"
"62206000","2120900","3292","478.7"
"63286000","2120900","3293","487.2"
"64366000","2120900","3293","494.3"
"65444000","2137100","3293","501.3"
"66523000","2137100","3293","509.8"
"67863000","2137100","3293","518.3"
"68942000","2137100","3293","526.7"
"70022000","2137100","3292","533.8"
"71101000","2137100","3293","542.3"
"72180000","2137100","3293","549.3"
"73515000","2174500","3293","559.2"
"74594000","2174500","3293","566.3"
"75673000","2174500","3293","574.8"
"76752000","2174500","3293","581.8"
"77836000","2174500","3293","588.9"
"79172000","2174500","3293","598.8"
"80251000","2174500","3293","605.8"
"81330000","2135500","3293","614.3"
"82411000","2135500","3292","621.4"
"83490000","2135500","3293","629.8"
"84829000","2135500","3293","638.3"
"85908000","2135500","3293","646.8"
"86986000","2135500","3293","653.8"
"88071000","2135500","3293","662.3"
"89151000","2134100","3294","669.4"
"90485000","2134100","3293","679.3"
"91565000","2134100","3293","686.3"
"92644000","2134100","3293","694.8"
"93723000","2134100","3294","701.9"
"94802000","2134100","3293","708.9"
"96136000","2134100","3293","718.8"
"97221000","2121100","3293","725.9"
"98300000","2121100","3294","734.4"
"99378000","2121100","3293","741.4"
"100457000","2121100","3293","748.5"
"101792000","2121100","3293","758.4"
"102872000","2121100","3293","766.8"
"103951000","2121100","3293","773.9"
"105031000","2192500","3293","782.4"
"106110000","2192500","3293","789.4"
"107450000","2192500","3293","799.3"
"108529000","2192500","3293","806.4"
"109607000","2192500","3293","813.4"
"110688000","2192500","3293","821.9"
"111767000","2192500","3293","829.0"
"113101000","2121100","3293","838.9"
"114180000","2121100","3292","845.9"
"115259000","2121100","3293","854.4"
"116337000","2121100","3293","861.5"
"117422000","2121100","3293","868.5"
"118756000","2121100","3293","878.4"
"119835000","2121100","3293","885.5"
"120916000","2135900","3293","893.9"
"121994000","2135900","3293","901.0"
"123073000","2135900","3293","909.5"
"124409000","2135900","3293","917.9"
"125488000","2135900","3293","926.4"
"126567000","2135900","3293","933.5"
"127657000","2135900","3293","942.0"
"128736000","2134300","3293","949.0"
"130069000","2134300","3292","958.9"
"131148000","2134300","3292","966.0"
"132228000","2134300","3292","973.0"
"133307000","2134300","3293","981.5"
"134387000","2134300","3292","988.6"
"135722000","2134300","3293","998.4"
"136801000","2122400","3291","1005.5"
"137886000","2122400","3292","1014.0"
"138966000","2122400","3292","1021.0"
"140045000","2122400","3292","1029.5"
"141379000","2122400","3292","1038.0"
"142459000","2122400","3292","1046.5"
"143538000","2122400","3292","1053.5"
"144618000","2190300","3292","1062.0"
"145698000","2190300","3292","1069.1"
"147032000","2190300","3292","1079.0"
"148117000","2190300","3293","1086.0"
"149197000","2190300","3292","1093.1"
"150277000","2190300","3292","1101.6"
"151356000","2190300","3292","1108.6"
"152689000","2120900","3292","1118.5"
"153769000","2120900","3292","1125.6"
"154847000","2120900","3292","1134.0"
"155926000","2120900","3292","1141.1"
"157006000","2120900","3292","1149.6"
"158347000","2120900","3292","1158.0"
"159426000","2120900","3293","1166.5"
"160505000","2135400","3293","1173.6"
"161584000","2135400","3292","1182.1"
"162663000","2135400","3292","1189.1"
"163998000","2135400","3293","1197.6"
"165077000","2135400","3293","1206.1"
"166157000","2135400","3292","1213.1"
"167241000","2135400","3292","1221.6"
"168320000","2135700","3293","1228.7"
"169659000","2135700","3292","1238.5"
"170738000","2135700","3292","1245.6"
"171817000","2135700","3292","1254.1"
"172896000","2135700","3291","1261.1"
"173975000","2135700","3292","1269.6"
"175310000","2135700","3292","1278.1"
"176388000","2175200","3292","1286.6"
"177473000","2175200","3292","1293.6"
"178553000","2175200","3293","1300.7"
"179632000","2175200","3292","1309.2"
"180967000","2175200","3292","1317.6"
"182046000","2175200","3292","1326.1"
"183125000","2175200","3292","1333.2"
"184204000","2135500","3292","1341.6"
"185283000","2135500","3292","1348.7"
"186615000","2135500","3292","1358.6"
"187701000","2135500","3293","1365.6"
"188781000","2135500","3292","1374.1"
"189860000","2135500","3291","1381.2"
"190940000","2135500","3292","1389.7"
"192275000","2120900","3292","1398.1"
"193353000","2120900","3292","1406.6"
"194432000","2120900","3291","1413.7"
"195511000","2120900","3292","1420.7"
"196590000","2120900","3291","1429.2"
"197930000","2120900","3291","1437.7"
"199009000","2120900","3291","1446.2"
"200089000","2136100","3291","1453.2"
"201168000","2136100","3291","1461.7"
"202248000","2136100","3291","1468.8"
"203582000","2136100","3291","1478.6"
"204661000","2136100","3291","1485.7"
"205740000","2136100","3291","1494.2"
"206819000","2136100","3291","1501.2"
"207902000","2191200","3291","1509.7"
"209237000","2191200","3290","1518.2"
"210316000","2191200","3291","1526.7"
"211399000","2191200","3291","1533.7"
"212478000","2191200","3291","1540.8"
"213557000","2191200","3290","1549.3"
"214891000","2191200","3290","1557.7"
"215970000","2121900","3290","1566.2"
"217049000","2121900","3290","1573.3"
"218133000","2121900","3290","1580.3"
"219212000","2121900","3291","1588.8"
"220544000","2121900","3290","1598.7"
"221624000","2121900","3289","1605.7"
"222703000","2121900","3291","1612.8"
"223783000","2136200","3290","1621.3"
"224862000","2136200","3290","1628.3"
"226197000","2136200","3290","1638.2"
"227282000","2136200","3290","1645.3"
"228363000","2136200","3290","1653.8"
"229442000","2136200","3290","1660.8"
"230521000","2136200","3290","1669.3"
"231855000","2120500","3290","1677.8"
"232933000","2120500","3290","1686.3"
"234012000","2120500","3290","1693.3"
"235092000","2120500","3289","1700.4"
"236170000","2120500","3289","1708.8"
"237510000","2120500","3289","1718.7"
"238589000","2120500","3289","1725.8"
"239668000","2136200","3290","1732.9"
"240748000","2136200","3290","1741.3"
"241827000","2136200","3290","1748.4"
"243161000","2136200","3290","1758.3"
"244240000","2136200","3289","1765.3"
"245319000","2136200","3290","1773.8"
"246397000","2136200","3290","1780.9"
"247481000","2136400","3290","1787.9"
"248816000","2136400","3289","1797.8"
"249895000","2136400","3290","1804.9"
"250974000","2136400","3291","1813.4"
"252053000","2136400","3290","1820.4"
"253138000","2136400","3290","1828.9"
"254472000","2136400","3291","1837.4"
"255552000","2174300","3290","1845.8"
"256629000","2174300","3291","1852.9"
"257714000","2174300","3290","1861.4"
"258793000","2174300","3290","1868.4"
"260128000","2174300","3290","1878.3"
"261207000","2174300","3290","1885.4"
"262286000","2174300","3290","1893.9"
"263365000","2136200","3291","1900.9"
"264443000","2136200","3291","1908.0"
"265778000","2136200","3291","1917.9"
"266855000","2136200","3290","1924.9"
"267940000","2136200","3290","1933.4"
"269019000","2136200","3290","1940.5"
"270098000","2136200","3290","1948.9"
"271433000","2121700","3290","1957.4"
"272512000","2121700","3290","1965.9"
"273591000","2121700","3290","1972.9"
"274670000","2121700","3291","1981.4"
"275749000","2121700","3291","1988.5"
"277083000","2121700","3291","1998.4"
"278165000","2121700","3290","2005.4"
"279245000","2136400","3290","2012.5"
"280325000","2136400","3290","2021.0"
"281404000","2136400","3291","2028.0"
"282738000","2136400","3291","2037.9"
"283817000","2136400","3290","2045.0"
"284896000","2136400","3291","2053.5"
"285975000","2136400","3291","2060.5"
"287054000","2192500","3290","2069.0"
"288395000","2192500","3290","2077.5"
"289474000","2192500","3291","2085.9"
"290552000","2192500","3291","2093.0"
"291632000","2192500","3291","2101.5"
"292711000","2192500","3291","2108.5"
"294046000","2192500","3291","2118.4"
"295130000","2119700","3291","2125.5"
"296210000","2119700","3290","2132.5"
"297294000","2119700","3290","2141.0"
"298374000","2119700","3290","2148.1"
"299709000","2119700","3291","2158.0"
"300786000","2119700","3291","2165.0"
"301866000","2119700","3291","2173.5"
"302946000","2135500","3291","2180.6"
"304025000","2135500","3291","2187.6"
"305360000","2135500","3291","2197.5"
"306439000","2135500","3291","2206.0"
"307523000","2135500","3290","2213.0"
"308601000","2135500","3291","2221.5"
"309680000","2135500","3290","2228.6"
"311015000","2174800","3291","2238.5"
"312094000","2174800","3291","2245.5"
"313173000","2174800","3290","2252.6"
"314253000","2174800","3291","2261.1"
"315332000","2174800","3291","2268.1"
"316667000","2174800","3291","2278.0"
"317751000","2174800","3291","2285.1"
"318830000","2135500","3291","2293.5"
"319909000","2135500","3291","2300.6"
"320989000","2135500","3291","2307.7"
"322323000","2135500","3290","2317.6"
"323402000","2135500","3292","2326.0"
"324482000","2135500","3291","2333.1"
"325561000","2135500","3292","2340.1"
"326640000","2137100","3291","2348.6"
"327981000","2137100","3291","2357.1"
"329060000","2137100","3291","2365.6"
"330138000","2137100","3291","2372.6"
"331217000","2137100","3290","2381.1"
"332295000","2137100","3290","2388.2"
"333630000","2137100","3291","2398.1"
"334709000","2121600","3291","2405.1"
"335787000","2121600","3291","2412.2"
"336872000","2121600","3291","2420.7"
"337956000","2121600","3291","2427.7"
"339291000","2121600","3290","2437.6"
"340370000","2121600","3291","2446.1"
"341449000","2121600","3290","2453.1"
"342528000","2134600","3290","2460.2"
"343606000","2134600","3291","2468.7"
"344941000","2134600","3291","2477.1"
"346020000","2134600","3291","2485.6"
"347103000","2134600","3291","2492.7"
"348183000","2134600","3291","2501.2"
"349261000","2134600","3291","2508.2"
"350596000","2175200","3291","2518.1"
"351675000","2175200","3291","2525.2"
"352754000","2175200","3291","2532.2"
"353834000","2175200","3292","2540.7"
"354914000","2175200","3291","2547.8"
"356248000","2175200","3291","2557.6"
"357333000","2175200","3292","2566.1"
"358413000","2135200","3291","2573.2"
"359492000","2135200","3291","2580.2"
"360571000","2135200","3291","2588.7"
"361905000","2135200","3291","2597.2"
"362984000","2135200","3291","2605.7"
"364064000","2135200","3291","2612.7"
"365141000","2135200","3291","2619.8"
"366221000","2137600","3291","2628.3"
"367559000","2137600","3290","2638.2"
"368638000","2137600","3290","2645.2"
"369718000","2137600","3291","2652.3"
"370798000","2137600","3290","2660.7"
"371877000","2137600","3290","2667.8"
"373212000","2137600","3290","2677.7"
"374292000","2120900","3290","2684.8"
"375371000","2120900","3290","2693.2"
"376450000","2120900","3290","2700.3"
"377534000","2120900","3291","2708.8"
"378875000","2120900","3291","2717.2"
"379952000","2120900","3290","2725.7"
"381031000","2120900","3290","2732.8"
"382110000","2134800","3290","2739.8"
"383189000","2134800","3290","2748.3"
"384524000","2134800","3289","2756.8"
"385603000","2134800","3290","2765.3"
"386683000","2134800","3290","2772.3"
"387767000","2134800","3290","2780.8"
"388846000","2134800","3290","2787.9"
"390181000","2174300","3291","2797.7"
"391260000","2174300","3291","2804.8"
"392340000","2174300","3290","2813.3"
"393418000","2174300","3290","2820.3"
"394498000","2174300","3291","2827.4"
"395833000","2174300","3291","2837.3"
"396912000","2174300","3291","2845.8"
"397997000","2135500","3290","2852.8"
"399076000","2135500","3291","2859.9"
"400156000","2135500","3291","2868.4"
"401490000","2135500","3291","2876.8"
"402569000","2135500","3291","2885.3"
"403648000","2135500","3290","2892.4"
"404727000","2135500","3290","2900.8"
"405806000","2137100","3290","2907.9"
"407145000","2137100","3290","2917.8"
"408224000","2137100","3291","2924.8"
"409303000","2137100","3290","2933.3"
"410382000","2137100","3289","2940.4"
"411461000","2137100","3291","2947.4"
"412795000","2137100","3290","2957.3"
"413874000","2121700","3291","2964.4"
"414953000","2121700","3291","2972.9"
"416033000","2121700","3290","2979.9"
"417117000","2121700","3291","2988.4"
"418452000","2121700","3291","2996.9"
"419531000","2121700","3291","3005.4"
"420615000","2121700","3291","3012.4"
"421693000","2189800","3291","3020.9"
"422772000","2189800","3290","3027.9"
"424106000","2189800","3291","3037.8"
"425184000","2189800","3291","3044.9"
"426264000","2189800","3291","3053.4"
"427348000","2189800","3291","3060.4"
"428428000","2189800","3292","3067.5"
"429763000","2121200","3291","3077.4"
"430843000","2121200","3292","3084.4"
"431922000","2121200","3292","3092.9"
"433001000","2121200","3291","3100.0"
"434080000","2121200","3291","3108.5"
"435414000","2121200","3291","3116.9"
"436492000","2121200","3291","3125.4"
"437577000","2136100","3291","3132.5"
"438655000","2136100","3292","3140.9"
"439735000","2136100","3292","3148.0"
"441069000","2136100","3292","3157.9"
"442149000","2136100","3291","3164.9"
"443229000","2136100","3292","3172.0"
"444308000","2136100","3292","3180.5"
"445387000","2137100","3292","3187.5"
"446721000","2137100","3292","3197.4"
"447806000","2137100","3292","3204.5"
"448885000","2137100","3292","3213.0"
"449965000","2137100","3292","3220.0"
"451044000","2137100","3292","3227.1"
"452379000","2137100","3291","3237.0"
"453459000","2173900","3292","3245.4"
"454538000","2173900","3292","3252.5"
"455617000","2173900","3292","3259.6"
"456697000","2173900","3292","3268.0"
"458036000","2173900","3292","3277.9"
"459116000","2173900","3292","3285.0"
"460196000","2173900","3292","3292.0"
"461275000","2135400","3292","3300.5"
"462359000","2135400","3292","3307.6"
"463694000","2135400","3292","3317.5"
"464772000","2135400","3292","3324.5"
"465852000","2135400","3293","3333.0"
"466931000","2135400","3293","3340.1"
"468014000","2135400","3292","3347.1"
"469349000","2120200","3292","3357.0"
"470428000","2120200","3292","3364.1"
"471508000","2120200","3292","3372.6"
"472586000","2120200","3292","3379.6"
"473665000","2120200","3292","3388.1"
"475000000","2120200","3292","3398.0"
"476080000","2120200","3291","3405.0"
"477163000","2136100","3291","3412.1"
"478242000","2136100","3292","3420.6"
"479319000","2136100","3292","3427.6"
"480653000","2136100","3291","3437.5"
