Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3320","40.9"
"1079000","0","3302","48.0"
"2163000","2135200","3299","55.0"
"3248000","2135200","3293","63.5"
"4329000","2135200","3300","70.6"
"5663000","2135200","3297","80.5"
"6741000","2135200","3294","88.9"
"7820000","2135200","3292","96.0"
"8900000","2135200","3295","104.5"
"9979000","2190700","3294","111.5"
"11314000","2190700","3293","121.4"
"12393000","2190700","3292","128.5"
"13479000","2190700","3296","135.5"
"14559000","2190700","3295","144.0"
"15639000","2190700","3294","151.1"
"16974000","2190700","3294","161.0"
"18053000","2120000","3293","168.0"
"19133000","2120000","3294","176.5"
"20212000","2120000","3293","183.6"
"21292000","2120000","3293","192.0"
"22627000","2120000","3293","201.9"
"23713000","2120000","3293","209.0"
"24793000","2120000","3294","217.5"
"25872000","2190000","3293","224.5"
"26951000","2190000","3292","231.6"
"28286000","2190000","3293","241.5"
"29366000","2190000","3292","248.5"
"30445000","2190000","3293","257.0"
"31525000","2190000","3292","264.1"
"32605000","2190000","3293","272.5"
"33946000","2120000","3293","281.0"
"35026000","2120000","3293","289.5"
"36106000","2120000","3293","296.5"
"37186000","2120000","3293","305.0"
"38266000","2120000","3293","312.1"
"39600000","2120000","3293","322.0"
"40680000","2120000","3292","329.0"
"41760000","2191000","3293","337.5"
"42845000","2191000","3292","344.6"
"43929000","2191000","3293","353.0"
"45264000","2191000","3293","361.5"
"46344000","2191000","3293","370.0"
"47422000","2191000","3293","377.1"
"48503000","2191000","3293","385.5"
"49583000","2133600","3293","392.6"
"50918000","2133600","3293","402.5"
"51997000","2133600","3292","409.5"
"53082000","2133600","3293","418.0"
"54162000","2133600","3292","425.1"
"55241000","2133600","3293","433.6"
"56576000","2133600","3292","442.0"
"57655000","2173900","3293","450.5"
"58735000","2173900","3292","457.6"
"59815000","2173900","3293","466.0"
"60895000","2173900","3292","473.1"
"62229000","2173900","3292","483.0"
"63315000","2173900","3292","490.0"
"64395000","2173900","3293","498.5"
"65474000","2134600","3292","505.6"
"66554000","2134600","3292","512.6"
"67889000","2134600","3292","522.5"
"68969000","2134600","3293","531.0"
"70050000","2134600","3291","538.1"
"71129000","2134600","3292","546.5"
"72208000","2134600","3292","553.6"
"73548000","2173600","3292","563.5"
"74627000","2173600","3292","570.5"
"75706000","2173600","3292","579.0"
"76786000","2173600","3292","586.1"
"77866000","2173600","3291","593.1"
"79201000","2173600","3292","603.0"
"80280000","2173600","3292","610.1"
"81360000","2136600","3291","618.6"
"82439000","2136600","3291","625.6"
"83523000","2136600","3292","634.1"
"84858000","2136600","3291","642.6"
"85943000","2136600","3292","651.1"
"87023000","2136600","3291","658.1"
"88103000","2136600","3292","666.6"
"89182000","2133600","3291","673.6"
"90517000","2133600","3292","683.5"
"91596000","2133600","3291","690.6"
"92676000","2133600","3292","699.1"
"93761000","2133600","3291","706.1"
"94841000","2133600","3291","714.6"
"96174000","2133600","3291","723.1"
"97253000","2174300","3292","731.6"
"98333000","2174300","3291","738.6"
"99413000","2174300","3292","747.1"
"100493000","2174300","3291","754.2"
"101828000","2174300","3291","764.0"
"102912000","2174300","3290","771.1"
"103992000","2174300","3291","779.6"
"105072000","2134800","3290","786.6"
"106151000","2134800","3291","795.1"
"107486000","2134800","3291","803.6"
"108566000","2134800","3291","812.1"
"109646000","2134800","3291","819.1"
"110725000","2134800","3291","827.6"
"111804000","2134800","3291","834.7"
"113145000","2173800","3291","844.5"
"114224000","2173800","3290","851.6"
"115303000","2173800","3291","860.1"
"116383000","2173800","3290","867.1"
"117462000","2173800","3290","874.2"
"118797000","2173800","3290","884.1"
"119876000","2173800","3291","892.6"
"120956000","2136800","3290","899.6"
"122035000","2136800","3290","908.1"
"123121000","2136800","3291","915.2"
"124455000","2136800","3290","925.1"
"125534000","2136800","3290","932.1"
"126613000","2136800","3290","940.6"
"127698000","2136800","3290","947.6"
"128777000","2133900","3290","954.7"
"130112000","2133900","3290","964.6"
"131191000","2133900","3291","973.1"
"132270000","2133900","3290","980.1"
"133356000","2133900","3290","987.2"
"134436000","2133900","3291","995.7"
"135769000","2204000","3290","1005.6"
"136850000","2204000","3290","1012.6"
"137929000","2204000","3290","1021.1"
"139008000","2204000","3291","1028.2"
"140087000","2204000","3290","1035.2"
"141422000","2204000","3290","1045.1"
"142501000","2204000","3291","1053.6"
"143586000","2135200","3291","1060.6"
"144665000","2135200","3290","1067.7"
"145744000","2135200","3291","1076.2"
"147079000","2135200","3290","1086.1"
"148159000","2135200","3290","1093.1"
"149238000","2135200","3290","1100.2"
"150317000","2135200","3291","1108.7"
"151397000","2136900","3290","1115.7"
"152736000","2136900","3290","1125.6"
"153815000","2136900","3290","1134.1"
"154896000","2136900","3290","1141.1"
"155976000","2136900","3290","1148.2"
"157056000","2136900","3290","1156.7"
"158391000","2203400","3290","1166.6"
"159470000","2203400","3290","1173.6"
"160549000","2203400","3291","1180.7"
"161629000","2203400","3291","1189.2"
"162709000","2203400","3290","1196.2"
"164048000","2203400","3290","1206.1"
"165128000","2203400","3290","1213.2"
"166207000","2135400","3290","1221.7"
"167287000","2135400","3290","1228.7"
"168367000","2135400","3290","1237.2"
"169707000","2135400","3291","1245.7"
"170787000","2135400","3291","1254.1"
"171867000","2135400","3290","1261.2"
"172953000","2135400","3290","1269.7"
"174032000","2133100","3290","1276.7"
"175366000","2133100","3290","1286.6"
"176446000","2133100","3291","1293.7"
"177525000","2133100","3291","1302.2"
"178606000","2133100","3290","1309.2"
"179685000","2133100","3291","1317.7"
"181019000","2133100","3291","1326.2"
"182098000","2175500","3291","1334.6"
"183184000","2175500","3291","1341.7"
"184262000","2175500","3291","1350.2"
"185341000","2175500","3290","1357.2"
"186676000","2175500","3291","1367.1"
"187756000","2175500","3290","1374.2"
"188836000","2175500","3291","1382.7"
"189916000","2135000","3290","1389.7"
"190995000","2135000","3291","1398.2"
"192331000","2135000","3291","1406.7"
"193417000","2135000","3291","1415.1"
"194497000","2135000","3290","1422.2"
"195577000","2135000","3291","1430.7"
"196656000","2135000","3291","1437.7"
"197991000","2173100","3291","1447.6"
"199071000","2173100","3290","1454.7"
"200151000","2173100","3291","1461.7"
"201230000","2173100","3291","1470.2"
"202309000","2173100","3291","1477.3"
"203651000","2173100","3291","1487.2"
"204730000","2173100","3292","1495.7"
"205810000","2134600","3291","1502.7"
"206889000","2134600","3291","1511.2"
"207968000","2134600","3291","1518.2"
"209302000","2134600","3292","1528.1"
"210381000","2134600","3291","1535.2"
"211459000","2134600","3291","1543.7"
"212543000","2134600","3290","1550.7"
"213628000","2135000","3291","1557.8"
"214963000","2135000","3291","1567.7"
"216044000","2135000","3292","1574.7"
"217123000","2135000","3291","1583.2"
"218202000","2135000","3291","1590.3"
"219282000","2135000","3291","1598.8"
"220617000","2204800","3291","1608.6"
"221696000","2204800","3291","1615.7"
"222782000","2204800","3292","1624.2"
"223861000","2204800","3291","1631.2"
"224941000","2204800","3292","1638.3"
"226276000","2204800","3291","1648.2"
"227356000","2204800","3292","1656.7"
"228437000","2134500","3292","1663.7"
"229516000","2134500","3291","1670.8"
"230595000","2134500","3292","1679.3"
"231930000","2134500","3292","1687.7"
"233015000","2134500","3292","1696.2"
"234094000","2134500","3292","1703.3"
"235174000","2134500","3292","1711.7"
"236254000","2135200","3292","1718.8"
"237589000","2135200","3292","1728.7"
"238669000","2135200","3292","1735.7"
"239749000","2135200","3292","1744.2"
"240827000","2135200","3292","1751.3"
"241907000","2135200","3292","1759.8"
"243248000","2135200","3292","1768.2"
"244329000","2173200","3293","1776.7"
"245408000","2173200","3292","1783.8"
"246487000","2173200","3293","1792.2"
"247566000","2173200","3292","1799.3"
"248899000","2173200","3292","1809.2"
"249979000","2173200","3292","1816.3"
"251059000","2173200","3292","1824.7"
"252139000","2136900","3291","1831.8"
"253224000","2136900","3292","1840.3"
"254563000","2136900","3292","1848.7"
"255642000","2136900","3292","1857.2"
"256722000","2136900","3291","1864.3"
"257802000","2136900","3292","1872.8"
"258880000","2136900","3291","1879.8"
"260215000","2173100","3292","1889.7"
"261294000","2173100","3291","1896.8"
"262375000","2173100","3292","1905.2"
"263459000","2173100","3292","1912.3"
"264540000","2173100","3293","1920.8"
"265875000","2173100","3292","1929.2"
"266955000","2173100","3293","1937.7"
"268034000","2134500","3292","1944.8"
