Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3311","39.5"
"1080000","0","3294","46.5"
"2160000","2134500","3303","55.0"
"3238000","2134500","3297","62.1"
"4318000","2134500","3298","69.1"
"5651000","2134500","3295","79.0"
"6737000","2134500","3295","86.1"
"7816000","2134500","3294","94.6"
"8895000","2134500","3292","101.6"
"9974000","2080700","3295","108.7"
"11310000","2080700","3294","118.6"
"12390000","2080700","3292","125.6"
"13469000","2080700","3293","134.1"
"14548000","2080700","3293","141.2"
"15627000","2080700","3291","148.2"
"16967000","2080700","3292","158.1"
"18047000","2120400","3293","165.2"
"19127000","2120400","3292","173.7"
"20207000","2120400","3291","180.7"
"21286000","2120400","3292","189.2"
"22622000","2120400","3292","197.7"
"23702000","2120400","3293","206.1"
"24782000","2120400","3293","213.2"
"25861000","2136100","3292","220.3"
"26951000","2136100","3293","228.7"
"28286000","2136100","3292","237.2"
"29366000","2136100","3293","245.7"
"30445000","2136100","3293","252.7"
"31525000","2136100","3292","259.8"
"32604000","2136100","3293","268.3"
"33939000","2119200","3293","276.7"
"35019000","2119200","3293","285.2"
"36099000","2119200","3293","292.3"
"37183000","2119200","3293","299.3"
"38263000","2119200","3293","307.8"
"39597000","2119200","3293","316.3"
"40677000","2119200","3293","324.8"
"41756000","2135000","3292","331.8"
"42835000","2135000","3293","340.3"
"43914000","2135000","3293","347.4"
"45249000","2135000","3293","355.8"
"46329000","2135000","3293","364.3"
"47414000","2135000","3292","371.4"
"48493000","2135000","3293","379.8"
"49573000","2135200","3292","386.9"
"50907000","2135200","3292","396.8"
"51987000","2135200","3292","403.8"
"53067000","2135200","3293","410.9"
"54147000","2135200","3293","419.4"
"55226000","2135200","3292","426.4"
"56566000","2135200","3292","436.3"
"57647000","2120200","3292","443.4"
"58727000","2120200","3292","451.9"
"59807000","2120200","3292","458.9"
"60886000","2120200","3292","466.0"
"62221000","2120200","3292","475.9"
"63301000","2120200","3292","482.9"
"64380000","2120200","3293","491.4"
"65460000","2136200","3293","498.5"
"66545000","2136200","3292","505.5"
"67880000","2136200","3292","515.4"
"68965000","2136200","3293","522.5"
"70044000","2136200","3293","531.0"
"71123000","2136200","3293","538.0"
"72203000","2136200","3293","545.1"
"73538000","2119000","3293","555.0"
"74618000","2119000","3293","562.0"
"75697000","2119000","3293","570.5"
"76783000","2119000","3293","577.5"
"77862000","2119000","3292","584.6"
"79197000","2119000","3292","594.5"
"80275000","2119000","3291","601.6"
"81354000","2135500","3292","610.0"
"82433000","2135500","3292","617.1"
"83512000","2135500","3291","624.1"
"84847000","2135500","3292","634.0"
"85926000","2135500","3291","641.1"
"87011000","2135500","3291","649.6"
"88091000","2135500","3291","656.6"
"89171000","2135200","3291","665.1"
"90506000","2135200","3291","673.6"
"91585000","2135200","3291","682.1"
"92666000","2135200","3291","689.1"
"93745000","2135200","3291","696.2"
"94825000","2135200","3291","704.7"
"96159000","2135200","3291","713.1"
"97245000","2120000","3292","721.6"
"98324000","2120000","3292","728.7"
"99404000","2120000","3291","735.7"
"100483000","2120000","3292","744.2"
"101818000","2120000","3291","752.7"
"102897000","2120000","3292","761.1"
"103976000","2120000","3292","768.2"
"105056000","2136800","3292","776.7"
"106135000","2136800","3292","783.7"
"107476000","2136800","3292","793.6"
"108556000","2136800","3292","800.7"
"109635000","2136800","3291","807.7"
"110719000","2136800","3291","816.2"
"111798000","2136800","3292","823.3"
"113133000","2119200","3291","833.2"
"114213000","2119200","3291","840.2"
"115292000","2119200","3291","847.3"
"116372000","2119200","3291","855.8"
"117457000","2119200","3291","862.8"
"118792000","2119200","3291","872.7"
"119871000","2119200","3291","879.8"
"120952000","2134800","3291","888.2"
"122030000","2134800","3291","895.3"
"123110000","2134800","3291","902.4"
"124445000","2134800","3291","912.3"
"125525000","2134800","3291","919.3"
"126611000","2134800","3291","927.8"
"127690000","2134800","3291","934.8"
"128770000","2079700","3290","941.9"
"130104000","2079700","3291","951.8"
"131185000","2079700","3290","958.9"
"132264000","2079700","3291","967.3"
"133344000","2079700","3291","974.4"
"134423000","2079700","3291","981.4"
