Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3282","39.5"
"1080000","0","3285","48.0"
"2159000","2135200","3283","55.0"
"3245000","2135200","3287","62.1"
"4323000","2135200","3287","70.6"
"5658000","2135200","3284","79.0"
"6737000","2135200","3287","87.5"
"7818000","2135200","3286","94.6"
"8897000","2135200","3289","103.1"
"9976000","2135200","3288","110.1"
"11311000","2135200","3291","120.0"
"12396000","2135200","3290","127.1"
"13475000","2135200","3291","135.5"
"14554000","2135200","3291","142.6"
"15634000","2135200","3291","151.1"
"16968000","2135200","3290","159.5"
"18047000","2120900","3291","166.6"
"19127000","2120900","3291","175.1"
"20207000","2120900","3290","182.1"
"21287000","2120900","3291","190.6"
"22627000","2120900","3290","199.1"
"23707000","2120900","3291","207.6"
"24785000","2120900","3291","214.6"
"25865000","2190100","3292","223.1"
"26944000","2190100","3291","230.2"
"28278000","2190100","3291","240.0"
"29358000","2190100","3291","247.1"
"30438000","2190100","3291","255.6"
"31518000","2190100","3290","262.6"
"32602000","2190100","3291","271.1"
"33937000","2120700","3291","279.6"
"35017000","2120700","3292","288.1"
"36095000","2120700","3292","295.1"
"37180000","2120700","3291","302.2"
"38259000","2120700","3291","310.7"
"39594000","2120700","3291","319.1"
"40673000","2120700","3291","327.6"
"41752000","2135700","3291","334.7"
"42837000","2135700","3292","343.1"
"43916000","2135700","3291","350.2"
"45251000","2135700","3291","360.1"
"46330000","2135700","3291","367.1"
"47411000","2135700","3291","375.6"
"48490000","2135700","3291","382.7"
"49569000","2190100","3291","391.2"
"50905000","2190100","3291","399.6"
"51983000","2190100","3291","408.1"
"53068000","2190100","3291","415.2"
"54149000","2190100","3291","422.2"
"55228000","2190100","3291","430.7"
"56563000","2190100","3291","439.2"
"57642000","2120400","3291","447.7"
"58721000","2120400","3291","454.7"
"59800000","2120400","3291","463.2"
"60879000","2120400","3291","470.3"
"62214000","2120400","3292","480.1"
"63297000","2120400","3291","487.2"
"64377000","2120400","3292","495.7"
"65457000","2135900","3291","502.7"
"66535000","2135900","3291","509.8"
"67869000","2135900","3290","519.7"
"68948000","2135900","3291","528.2"
"70027000","2135900","3291","535.2"
"71106000","2135900","3291","542.3"
"72186000","2135900","3291","550.8"
"73526000","2121400","3291","559.2"
"74606000","2121400","3291","567.7"
"75685000","2121400","3291","574.8"
"76766000","2121400","3292","583.2"
"77845000","2121400","3291","590.3"
"79183000","2121400","3291","600.2"
"80262000","2121400","3291","607.2"
"81342000","2190500","3291","615.7"
"82427000","2190500","3290","622.8"
"83506000","2190500","3291","631.3"
"84841000","2190500","3291","639.7"
"85920000","2190500","3291","648.2"
"87000000","2190500","3291","655.3"
"88080000","2190500","3291","662.3"
"89160000","2135000","3291","670.8"
"90494000","2135000","3290","679.3"
"91574000","2135000","3290","687.8"
"92659000","2135000","3290","694.8"
"93738000","2135000","3291","703.3"
"94818000","2135000","3290","710.3"
"96154000","2135000","3291","720.2"
"97232000","2120500","3290","727.3"
"98312000","2120500","3291","735.8"
"99391000","2120500","3290","742.8"
"100470000","2120500","3291","751.3"
"101804000","2120500","3291","759.8"
"102888000","2120500","3291","768.3"
"103967000","2120500","3290","775.3"
"105047000","2135700","3291","782.4"
"106126000","2135700","3290","790.9"
"107461000","2135700","3291","799.3"
"108541000","2135700","3290","807.8"
"109621000","2135700","3291","814.9"
"110701000","2135700","3291","823.3"
"111781000","2135700","3290","830.4"
"113121000","2173400","3291","840.3"
"114201000","2173400","3291","847.3"
"115281000","2173400","3291","855.8"
"116360000","2173400","3290","862.9"
"117441000","2173400","3290","871.4"
"118776000","2173400","3290","879.8"
"119855000","2173400","3291","888.3"
"120938000","2135200","3290","895.4"
"122017000","2135200","3290","903.8"
"123102000","2135200","3290","910.9"
"124435000","2135200","3291","920.8"
"125515000","2135200","3290","927.8"
"126594000","2135200","3290","934.9"
"127674000","2135200","3290","943.4"
"128753000","2135700","3291","950.4"
"130089000","2135700","3291","960.3"
"131169000","2135700","3290","968.8"
"132248000","2135700","3290","975.9"
"133333000","2135700","3290","982.9"
"134413000","2135700","3291","991.4"
"135747000","2135700","3291","999.9"
"136826000","2173800","3291","1008.4"
"137906000","2173800","3290","1015.4"
"138986000","2173800","3291","1023.9"
"140065000","2173800","3291","1030.9"
"141399000","2173800","3291","1040.8"
"142483000","2173800","3290","1047.9"
"143562000","2173800","3291","1056.4"
"144642000","2135500","3290","1063.4"
"145720000","2135500","3290","1071.9"
"147054000","2135500","3291","1080.4"
"148134000","2135500","3291","1088.9"
"149214000","2135500","3291","1095.9"
"150291000","2135500","3290","1103.0"
"151372000","2135500","3290","1111.5"
"152712000","2121100","3291","1119.9"
"153792000","2121100","3291","1128.4"
"154872000","2121100","3290","1135.5"
"155951000","2121100","3291","1143.9"
"157032000","2121100","3290","1151.0"
"158365000","2121100","3290","1160.9"
"159445000","2121100","3290","1167.9"
"160524000","2191900","3290","1176.4"
"161603000","2191900","3290","1183.5"
"162688000","2191900","3290","1192.0"
"164028000","2191900","3290","1200.4"
"165107000","2191900","3291","1208.9"
"166186000","2191900","3290","1216.0"
"167265000","2191900","3291","1224.4"
"168345000","2133900","3291","1231.5"
"169680000","2133900","3291","1241.4"
"170760000","2133900","3290","1248.4"
"171839000","2133900","3291","1255.5"
"172924000","2133900","3291","1264.0"
"174004000","2133900","3290","1271.0"
"175339000","2133900","3291","1280.9"
"176419000","2120200","3290","1288.0"
"177498000","2120200","3291","1296.5"
"178577000","2120200","3291","1303.5"
"179656000","2120200","3292","1312.0"
"180991000","2120200","3291","1320.5"
"182070000","2120200","3291","1329.0"
"183155000","2120200","3291","1336.0"
"184235000","2190500","3292","1344.5"
"185315000","2190500","3291","1351.5"
"186650000","2190500","3291","1361.4"
"187729000","2190500","3291","1368.5"
"188808000","2190500","3291","1375.6"
"189888000","2190500","3290","1384.0"
"190968000","2190500","3290","1391.1"
"192308000","2120400","3290","1401.0"
"193388000","2120400","3290","1408.0"
"194466000","2120400","3291","1416.5"
"195546000","2120400","3290","1423.6"
"196625000","2120400","3291","1432.1"
"197959000","2120400","3291","1440.5"
"199038000","2120400","3291","1449.0"
"200118000","2137100","3290","1456.1"
"201198000","2137100","3291","1464.5"
"202277000","2137100","3291","1471.6"
"203617000","2137100","3291","1481.5"
"204724000","2137100","3290","1488.5"
"205803000","2137100","3291","1497.0"
"206883000","2137100","3291","1504.1"
"207963000","2127500","3291","1511.1"
"209298000","2127500","3290","1521.0"
"210378000","2127500","3290","1529.5"
"211457000","2127500","3290","1536.6"
"212542000","2127500","3291","1543.6"
"213621000","2127500","3291","1552.1"
"214955000","2204000","3291","1562.0"
"216035000","2204000","3290","1569.0"
"217114000","2204000","3291","1576.1"
"218194000","2204000","3292","1584.6"
"219273000","2204000","3291","1591.6"
"220609000","2204000","3291","1601.5"
"221688000","2204000","3291","1608.6"
"222773000","2134800","3291","1617.1"
"223852000","2134800","3291","1624.1"
"224933000","2134800","3291","1632.6"
"226268000","2134800","3291","1641.1"
"227347000","2134800","3292","1649.6"
"228426000","2134800","3292","1656.6"
"229506000","2134800","3292","1665.1"
"230586000","2136400","3292","1672.1"
"231921000","2136400","3292","1682.0"
"233004000","2136400","3292","1689.1"
"234084000","2136400","3292","1697.6"
"235164000","2136400","3292","1704.6"
"236243000","2136400","3291","1711.7"
"237578000","2136400","3292","1721.6"
"238657000","2120900","3291","1728.6"
"239736000","2120900","3292","1737.1"
"240815000","2120900","3291","1744.2"
"241894000","2120900","3291","1752.7"
"243235000","2120900","3291","1761.1"
"244314000","2120900","3292","1769.6"
"245394000","2120900","3291","1776.7"
"246474000","2190300","3292","1785.1"
"247558000","2190300","3292","1792.2"
"248893000","2190300","3292","1802.1"
"249973000","2190300","3292","1809.1"
"251052000","2190300","3292","1817.6"
"252132000","2190300","3292","1824.7"
"253217000","2190300","3292","1831.7"
"254550000","2119400","3292","1841.6"
"255630000","2119400","3293","1848.7"
"256710000","2119400","3293","1857.2"
"257789000","2119400","3292","1864.2"
"258869000","2119400","3293","1872.7"
"260204000","2119400","3293","1881.2"
"261283000","2119400","3294","1889.6"
"262367000","2135200","3293","1896.7"
"263446000","2135200","3293","1905.2"
"264525000","2135200","3293","1912.2"
"265860000","2135200","3293","1922.1"
"266940000","2135200","3293","1929.2"
"268019000","2135200","3294","1937.7"
"269099000","2135200","3293","1944.7"
"270177000","2137100","3293","1951.8"
"271512000","2137100","3293","1961.7"
"272598000","2137100","3294","1968.7"
"273678000","2137100","3293","1977.2"
"274757000","2137100","3293","1984.3"
"275836000","2137100","3293","1992.7"
"277171000","2137100","3293","2001.2"
"278250000","2173800","3293","2009.7"
"279329000","2173800","3293","2016.8"
"280409000","2173800","3293","2025.2"
"281488000","2173800","3292","2032.3"
"282828000","2173800","3293","2042.2"
"283908000","2173800","3292","2049.2"
"284987000","2173800","3292","2057.7"
"286067000","2135200","3292","2064.8"
"287147000","2135200","3292","2073.3"
"288481000","2135200","3292","2081.7"
"289566000","2135200","3293","2090.2"
"290645000","2135200","3292","2097.3"
"291724000","2135200","3292","2105.7"
"292809000","2135200","3293","2112.8"
"294144000","2172700","3293","2122.7"
"295224000","2172700","3293","2129.7"
"296303000","2172700","3293","2138.2"
"297383000","2172700","3293","2145.3"
"298463000","2172700","3293","2152.3"
"299798000","2172700","3293","2162.2"
"300878000","2172700","3293","2170.7"
"301958000","2136100","3293","2177.8"
"303043000","2136100","3292","2184.8"
"304122000","2136100","3293","2193.3"
"305456000","2136100","3292","2201.8"
"306536000","2136100","3293","2210.2"
"307615000","2136100","3292","2217.3"
"308695000","2136100","3293","2225.8"
"309775000","2135200","3293","2232.8"
"311110000","2135200","3293","2242.7"
"312190000","2135200","3292","2249.8"
"313275000","2135200","3292","2258.3"
"314355000","2135200","3292","2265.3"
"315434000","2135200","3292","2273.8"
"316769000","2135200","3291","2282.3"
"317848000","2173600","3292","2290.8"
"318927000","2173600","3292","2297.8"
"320007000","2173600","3291","2304.9"
"321087000","2173600","3292","2313.3"
"322426000","2173600","3292","2321.8"
"323505000","2173600","3292","2330.3"
"324585000","2173600","3292","2337.4"
"325664000","2135500","3292","2345.8"
"326744000","2135500","3292","2352.9"
"328079000","2135500","3292","2362.8"
"329158000","2135500","3291","2369.8"
"330237000","2135500","3292","2378.3"
"331320000","2135500","3292","2385.4"
"332405000","2135500","3292","2393.9"
"333740000","2119700","3292","2402.3"
"334819000","2119700","3292","2410.8"
"335899000","2119700","3292","2417.9"
"336978000","2119700","3292","2424.9"
"338057000","2119700","3293","2433.4"
"339391000","2119700","3292","2441.9"
"340470000","2119700","3293","2450.3"
"341549000","2137300","3292","2457.4"
"342634000","2137300","3292","2465.9"
"343714000","2137300","3292","2472.9"
"345049000","2137300","3292","2482.8"
"346129000","2137300","3292","2489.9"
"347209000","2137300","3292","2498.4"
"348289000","2137300","3292","2505.4"
"349368000","2189600","3293","2513.9"
"350703000","2189600","3292","2522.4"
"351783000","2189600","3292","2530.8"
"352869000","2189600","3292","2537.9"
"353948000","2189600","3292","2546.4"
"355028000","2189600","3292","2553.4"
"356364000","2189600","3292","2563.3"
"357443000","2120000","3291","2570.4"
"358522000","2120000","3292","2577.4"
"359601000","2120000","3293","2585.9"
"360681000","2120000","3292","2593.0"
"362015000","2120000","3293","2602.9"
"363100000","2120000","3292","2611.4"
"364181000","2120000","3292","2618.4"
"365260000","2135000","3292","2625.5"
"366340000","2135000","3292","2633.9"
"367675000","2135000","3293","2642.4"
"368754000","2135000","3292","2650.9"
"369832000","2135000","3292","2658.0"
"370911000","2135000","3293","2666.4"
"371991000","2135000","3292","2673.5"
"373335000","2173200","3292","2683.4"
"374414000","2173200","3291","2690.4"
"375494000","2173200","3292","2698.9"
"376574000","2173200","3292","2706.0"
"377653000","2173200","3292","2713.0"
"378988000","2173200","3291","2722.9"
"380067000","2173200","3292","2731.4"
"381146000","2136800","3292","2738.5"
"382225000","2136800","3292","2746.9"
"383311000","2136800","3292","2754.0"
"384646000","2136800","3292","2763.9"
"385726000","2136800","3292","2770.9"
"386806000","2136800","3291","2778.0"
"387886000","2136800","3292","2786.5"
"388966000","2134500","3291","2793.5"
"390302000","2134500","3292","2803.4"
"391381000","2134500","3291","2810.5"
"392466000","2134500","3292","2819.0"
"393546000","2134500","3292","2826.0"
"394625000","2134500","3292","2834.5"
"395958000","2134500","3291","2843.0"
"397038000","2173900","3292","2851.4"
"398118000","2173900","3292","2858.5"
"399198000","2173900","3292","2867.0"
"400278000","2173900","3292","2874.0"
"401613000","2173900","3292","2883.9"
"402698000","2173900","3291","2891.0"
"403777000","2173900","3292","2898.0"
"404857000","2134600","3292","2906.5"
"405937000","2134600","3292","2913.6"
"407271000","2134600","3292","2923.5"
"408351000","2134600","3292","2930.5"
"409430000","2134600","3292","2939.0"
"410510000","2134600","3291","2946.1"
"411590000","2134600","3292","2954.5"
"412929000","2120700","3292","2963.0"
"414008000","2120700","3292","2971.5"
"415092000","2120700","3291","2978.6"
"416171000","2120700","3291","2987.0"
"417251000","2120700","3292","2994.1"
"418586000","2120700","3292","3004.0"
"419665000","2120700","3292","3011.0"
"420743000","2191000","3292","3019.5"
"421823000","2191000","3291","3026.6"
"422908000","2191000","3291","3033.6"
"424244000","2191000","3291","3043.5"
"425324000","2191000","3292","3050.6"
"426403000","2191000","3292","3059.1"
"427482000","2191000","3292","3066.1"
"428562000","2134600","3292","3074.6"
"429896000","2134600","3292","3084.5"
"430976000","2134600","3292","3091.5"
"432056000","2134600","3292","3098.6"
"433141000","2134600","3292","3107.1"
"434221000","2134600","3292","3114.1"
"435556000","2134600","3293","3124.0"
"436636000","2120200","3292","3131.1"
"437715000","2120200","3293","3139.6"
"438794000","2120200","3292","3146.6"
"439874000","2120200","3293","3153.7"
"441208000","2120200","3292","3163.6"
"442287000","2120200","3293","3172.0"
"443373000","2120200","3293","3179.1"
"444452000","2190500","3292","3187.6"
"445532000","2190500","3292","3194.6"
"446867000","2190500","3292","3204.5"
"447946000","2190500","3292","3211.6"
"449023000","2190500","3292","3220.1"
"450102000","2190500","3292","3227.1"
"451182000","2190500","3292","3234.2"
"452521000","2121400","3292","3244.1"
"453601000","2121400","3291","3251.1"
"454680000","2121400","3292","3259.6"
"455760000","2121400","3291","3266.7"
"456844000","2121400","3292","3275.1"
"458179000","2121400","3292","3283.6"
"459259000","2121400","3293","3292.1"
"460338000","2135200","3292","3299.2"
"461418000","2135200","3292","3307.6"
"462503000","2135200","3292","3314.7"
"463838000","2135200","3292","3324.6"
"464917000","2135200","3293","3331.6"
"465998000","2135200","3293","3340.1"
"467077000","2135200","3293","3347.2"
"468156000","2134800","3292","3354.2"
"469490000","2134800","3292","3364.1"
"470570000","2134800","3292","3371.2"
"471649000","2134800","3293","3379.7"
"472734000","2134800","3292","3386.7"
"473813000","2134800","3293","3395.2"
"475148000","2134800","3292","3403.7"
"476227000","2174300","3292","3412.1"
"477308000","2174300","3292","3419.2"
"478387000","2174300","3293","3427.7"
"479465000","2174300","3292","3434.7"
"480800000","2174300","3293","3444.6"
"481880000","2174300","3292","3451.7"
"482966000","2174300","3292","3460.2"
"484046000","2134800","3292","3467.2"
"485125000","2134800","3292","3475.7"
"486460000","2134800","3292","3484.2"
"487538000","2134800","3292","3492.6"
"488617000","2134800","3291","3499.7"
"489697000","2134800","3291","3506.8"
"490776000","2134800","3292","3515.2"
"492111000","2122200","3291","3523.7"
"493197000","2122200","3291","3532.2"
"494277000","2122200","3291","3539.2"
"495356000","2122200","3291","3547.7"
"496435000","2122200","3291","3554.8"
"497769000","2122200","3291","3564.7"
"498854000","2122200","3291","3571.7"
"499934000","2188700","3291","3580.2"
"501013000","2188700","3290","3587.3"
"502093000","2188700","3291","3595.7"
"503433000","2188700","3290","3604.2"
"504513000","2188700","3291","3612.7"
"505592000","2188700","3291","3619.8"
"506671000","2188700","3291","3626.8"
"507750000","2135400","3291","3635.3"
"509086000","2135400","3291","3645.2"
"510166000","2135400","3292","3652.2"
"511245000","2135400","3291","3660.7"
"512330000","2135400","3291","3667.8"
"513410000","2135400","3291","3676.3"
"514746000","2135400","3291","3684.7"
"515824000","2173600","3291","3693.2"
"516904000","2173600","3291","3700.3"
"517983000","2173600","3291","3707.3"
"519062000","2173600","3291","3715.8"
"520397000","2173600","3290","3724.3"
"521476000","2173600","3291","3732.7"
"522561000","2173600","3290","3739.8"
"523641000","2135200","3291","3748.3"
"524720000","2135200","3291","3755.3"
"526056000","2135200","3291","3765.2"
"527135000","2135200","3290","3772.3"
"528214000","2135200","3291","3780.8"
"529294000","2135200","3291","3787.8"
"530374000","2135200","3291","3796.3"
"531708000","2121900","3291","3804.8"
"532794000","2121900","3291","3813.2"
"533873000","2121900","3291","3820.3"
"534952000","2121900","3291","3827.4"
"536031000","2121900","3291","3835.8"
"537365000","2121900","3291","3844.3"
"538445000","2121900","3291","3852.8"
"539524000","2135500","3290","3859.8"
"540609000","2135500","3291","3868.3"
"541687000","2135500","3290","3875.4"
"543027000","2135500","3291","3885.3"
"544106000","2135500","3290","3892.3"
"545186000","2135500","3291","3900.8"
"546266000","2135500","3291","3907.9"
"547346000","2188900","3291","3916.3"
"548680000","2188900","3292","3924.8"
"549759000","2188900","3292","3933.3"
"550839000","2188900","3291","3940.4"
"551919000","2188900","3292","3948.8"
"553004000","2188900","3292","3955.9"
"554337000","2188900","3292","3965.8"
"555416000","2121100","3291","3972.8"
"556495000","2121100","3292","3979.9"
"557574000","2121100","3293","3988.4"
"558655000","2121100","3292","3995.4"
"559990000","2121100","3292","4005.3"
"561070000","2121100","3292","4012.4"
"562149000","2121100","3292","4020.9"
"563233000","2135400","3292","4027.9"
"564312000","2135400","3292","4036.4"
"565647000","2135400","3292","4046.3"
"566727000","2135400","3292","4053.3"
"567806000","2135400","3291","4060.4"
"568885000","2135400","3292","4068.9"
"569965000","2135400","3291","4075.9"
"571301000","2175200","3292","4085.8"
"572385000","2175200","3292","4092.9"
"573466000","2175200","3293","4101.4"
"574545000","2175200","3292","4108.4"
"575624000","2175200","3292","4115.5"
"576959000","2175200","3292","4125.4"
"578037000","2175200","3292","4133.8"
"579117000","2135400","3292","4140.9"
"580195000","2135400","3291","4149.4"
"581276000","2135400","3291","4156.4"
"582620000","2135400","3292","4166.3"
"583700000","2135400","3292","4173.4"
"584778000","2135400","3291","4180.4"
"585858000","2135400","3291","4188.9"
"586938000","2134100","3291","4196.0"
"588272000","2134100","3291","4205.9"
"589351000","2134100","3290","4212.9"
"590431000","2134100","3291","4221.4"
"591511000","2134100","3291","4228.5"
"592596000","2134100","3291","4236.9"
"593931000","2134100","3291","4245.4"
"595011000","2173800","3291","4253.9"
"596090000","2173800","3292","4261.0"
"597169000","2173800","3292","4269.4"
"598248000","2173800","3291","4276.5"
"599582000","2173800","3292","4286.4"
"600662000","2173800","3292","4293.4"
"601742000","2173800","3292","4301.9"
"602826000","2135500","3292","4309.0"
"603905000","2135500","3291","4316.0"
"605241000","2135500","3291","4325.9"
"606320000","2135500","3291","4333.0"
"607400000","2135500","3292","4341.5"
"608479000","2135500","3291","4348.5"
"609559000","2135500","3291","4357.0"
"610894000","2121900","3292","4365.5"
"611973000","2121900","3292","4373.9"
"613058000","2121900","3292","4381.0"
"614138000","2121900","3291","4389.5"
"615217000","2121900","3291","4396.5"
"616551000","2121900","3291","4406.4"
"617631000","2121900","3291","4413.5"
"618711000","2190100","3291","4422.0"
"619791000","2190100","3292","4429.0"
"620871000","2190100","3292","4437.5"
"622206000","2190100","3292","4446.0"
"623290000","2190100","3292","4454.4"
"624375000","2190100","3292","4461.5"
"625455000","2190100","3293","4468.6"
"626534000","2133600","3293","4477.0"
"627870000","2133600","3292","4486.9"
"628949000","2133600","3292","4494.0"
"630030000","2133600","3292","4502.5"
"631109000","2133600","3292","4509.5"
"632188000","2133600","3291","4516.6"
"633528000","2133600","3292","4526.5"
"634609000","2173200","3292","4535.0"
"635688000","2173200","3292","4542.0"
"636767000","2173200","3291","4549.1"
"637847000","2173200","3292","4557.5"
"639182000","2173200","3291","4566.0"
"640261000","2173200","3292","4574.5"
"641341000","2173200","3292","4581.6"
"642424000","2135500","3292","4590.0"
"643504000","2135500","3291","4597.1"
"644839000","2135500","3292","4607.0"
"645918000","2135500","3292","4614.0"
"646998000","2135500","3292","4622.5"
"648077000","2135500","3292","4629.6"
"649157000","2135500","3292","4638.1"
"650492000","2121700","3292","4646.5"
"651570000","2121700","3292","4655.0"
"652655000","2121700","3292","4662.1"
"653735000","2121700","3292","4669.1"
"654814000","2121700","3292","4677.6"
"656149000","2121700","3292","4686.1"
"657228000","2121700","3292","4694.5"
"658307000","2135700","3291","4701.6"
"659387000","2135700","3291","4710.1"
"660467000","2135700","3291","4717.1"
