Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3270","39.5"
"1080000","0","3292","48.0"
"2159000","2136100","3288","55.0"
"3238000","2136100","3292","62.1"
"4323000","2136100","3290","70.6"
"5658000","2136100","3292","79.0"
"6738000","2136100","3291","87.5"
"7818000","2136100","3289","94.6"
"8897000","2136100","3292","103.1"
"9976000","2135200","3291","110.1"
"11311000","2135200","3289","118.6"
"12391000","2135200","3291","127.1"
"13469000","2135200","3290","134.1"
"14555000","2135200","3289","141.2"
"15634000","2135200","3290","149.6"
"16968000","2135200","3289","158.1"
"18049000","2120500","3291","166.6"
"19129000","2120500","3291","173.7"
"20209000","2120500","3289","180.7"
"21289000","2120500","3291","189.2"
"22623000","2120500","3290","197.7"
"23708000","2120500","3291","206.1"
"24794000","2120500","3291","213.2"
"25873000","2078000","3290","220.3"
"26953000","2078000","3291","228.7"
"28288000","2078000","3291","237.2"
"29368000","2078000","3292","244.3"
"30449000","2078000","3292","252.7"
"31528000","2078000","3291","259.8"
"32608000","2078000","3293","266.9"
"33949000","2119700","3293","276.7"
"35028000","2119700","3292","283.8"
"36107000","2119700","3293","292.3"
"37187000","2119700","3292","299.3"
"38267000","2119700","3293","307.8"
"39603000","2119700","3293","316.3"
"40682000","2119700","3293","323.3"
"41762000","2136100","3293","331.8"
"42842000","2136100","3292","338.9"
"43927000","2136100","3293","347.4"
"45261000","2136100","3292","355.8"
"46342000","2136100","3292","362.9"
"47422000","2136100","3293","371.4"
"48502000","2136100","3292","378.4"
"49583000","2079200","3292","385.5"
"50917000","2079200","3292","395.4"
"51997000","2079200","3292","402.4"
"53078000","2079200","3292","410.9"
"54163000","2079200","3292","418.0"
"55243000","2079200","3292","425.0"
"56577000","2079200","3293","434.9"
"57657000","2120000","3292","442.0"
"58737000","2120000","3292","450.4"
"59816000","2120000","3292","457.5"
"60896000","2120000","3292","464.6"
"62231000","2120000","3292","474.4"
"63311000","2120000","3292","481.5"
"64396000","2120000","3293","490.0"
"65481000","2133200","3292","497.0"
"66560000","2133200","3292","504.1"
"67895000","2133200","3292","514.0"
"68975000","2133200","3292","521.0"
"70055000","2133200","3292","529.5"
"71134000","2133200","3293","536.6"
"72214000","2133200","3292","543.6"
"73548000","2121900","3292","553.5"
"74635000","2121900","3291","560.6"
"75714000","2121900","3292","569.1"
"76793000","2121900","3292","576.1"
"77874000","2121900","3291","583.2"
"79208000","2121900","3292","593.1"
"80288000","2121900","3291","600.1"
"81368000","2079400","3291","607.2"
"82448000","2079400","3292","615.7"
"83528000","2079400","3291","622.7"
"84868000","2079400","3291","632.6"
"85947000","2079400","3290","639.7"
"87026000","2079400","3291","646.7"
"88107000","2079400","3291","655.2"
"89187000","2134500","3290","662.3"
"90522000","2134500","3290","672.2"
"91601000","2134500","3290","679.2"
"92680000","2134500","3291","687.7"
"93759000","2134500","3291","694.8"
"94845000","2134500","3290","701.8"
"96181000","2134500","3291","711.7"
"97261000","2120200","3290","718.8"
"98341000","2120200","3290","725.8"
"99420000","2120200","3291","734.3"
"100500000","2120200","3290","741.4"
"101835000","2120200","3290","751.2"
"102914000","2120200","3290","758.3"
"103999000","2120200","3290","765.4"
"105080000","2134600","3290","773.8"
"106159000","2134600","3290","780.9"
"107499000","2134600","3290","790.8"
"108578000","2134600","3290","797.8"
"109658000","2134600","3289","804.9"
"110738000","2134600","3290","813.4"
"111818000","2134600","3290","820.4"
"113153000","2067000","3290","828.9"
"114239000","2067000","3290","837.4"
"115317000","2067000","3289","844.4"
"116397000","2067000","3290","852.9"
"117476000","2067000","3290","860.0"
"118811000","2067000","3290","868.4"
"119891000","2067000","3290","876.9"
"120971000","2134600","3289","884.0"
"122052000","2134600","3289","892.5"
"123131000","2134600","3290","899.5"
"124472000","2134600","3290","909.4"
"125552000","2134600","3290","916.5"
"126631000","2134600","3289","923.5"
"127711000","2134600","3289","932.0"
"128790000","2134600","3290","939.1"
"130125000","2134600","3290","948.9"
"131204000","2134600","3290","956.0"
"132284000","2134600","3289","963.1"
"133364000","2134600","3290","970.1"
"134450000","2134600","3290","978.6"
"135786000","2134600","3290","987.1"
"136866000","2119700","3290","995.5"
"137945000","2119700","3291","1002.6"
"139025000","2119700","3290","1009.7"
"140104000","2119700","3290","1018.1"
"141439000","2119700","3290","1026.6"
"142518000","2119700","3291","1035.1"
"143599000","2119700","3290","1042.1"
"144683000","2080000","3290","1049.2"
"145761000","2080000","3290","1057.7"
"147096000","2080000","3290","1066.2"
"148176000","2080000","3291","1074.6"
"149260000","2080000","3290","1081.7"
"150340000","2080000","3290","1088.7"
"151421000","2080000","3291","1097.2"
"152756000","2120400","3290","1105.7"
"153842000","2120400","3291","1114.2"
"154921000","2120400","3291","1121.2"
"156000000","2120400","3290","1128.3"
"157079000","2120400","3290","1136.8"
"158415000","2120400","3290","1145.2"
"159494000","2120400","3291","1153.7"
"160573000","2135000","3291","1160.8"
"161653000","2135000","3290","1167.8"
"162733000","2135000","3291","1176.3"
"164075000","2135000","3291","1184.8"
"165154000","2135000","3291","1191.8"
"166234000","2135000","3291","1200.3"
"167314000","2135000","3291","1207.4"
"168394000","2079000","3291","1214.4"
"169729000","2079000","3291","1224.3"
"170808000","2079000","3291","1231.4"
"171888000","2079000","3291","1239.9"
"172968000","2079000","3291","1246.9"
"174054000","2079000","3291","1255.4"
"175389000","2079000","3291","1263.9"
"176469000","2119900","3292","1270.9"
"177549000","2119900","3291","1279.4"
"178629000","2119900","3291","1286.5"
"179709000","2119900","3292","1293.5"
"181044000","2119900","3292","1303.4"
"182123000","2119900","3291","1310.5"
"183203000","2119900","3292","1318.9"
"184289000","2134300","3292","1326.0"
"185369000","2134300","3291","1333.1"
"186705000","2134300","3292","1342.9"
"187784000","2134300","3292","1350.0"
"188863000","2134300","3292","1358.5"
"189943000","2134300","3291","1365.5"
"191028000","2134300","3291","1372.6"
"192362000","2120400","3292","1382.5"
"193443000","2120400","3291","1389.5"
"194528000","2120400","3292","1398.0"
"195608000","2120400","3291","1405.1"
"196688000","2120400","3291","1412.1"
"198024000","2120400","3292","1422.0"
"199103000","2120400","3292","1429.1"
"200182000","2079200","3292","1436.1"
"201262000","2079200","3293","1444.6"
"202342000","2079200","3292","1451.7"
"203676000","2079200","3293","1461.6"
"204761000","2079200","3292","1468.6"
"205842000","2079200","3292","1477.1"
"206921000","2079200","3293","1484.2"
"208001000","2134800","3292","1491.2"
"209335000","2134800","3292","1501.1"
"210415000","2134800","3292","1508.2"
"211496000","2134800","3292","1516.6"
"212575000","2134800","3292","1523.7"
"213655000","2134800","3292","1530.8"
"214996000","2134800","3292","1540.6"
"216075000","2119900","3291","1547.7"
"217154000","2119900","3292","1554.8"
"218235000","2119900","3292","1563.2"
"219315000","2119900","3292","1570.3"
"220649000","2119900","3292","1580.2"
"221730000","2119900","3292","1587.2"
"222809000","2119900","3292","1594.3"
"223894000","2134800","3292","1602.8"
"224973000","2134800","3292","1609.8"
"226308000","2134800","3292","1619.7"
"227389000","2134800","3292","1626.8"
"228468000","2134800","3293","1633.8"
"229549000","2134800","3293","1642.3"
"230628000","2134800","3292","1649.4"
"231963000","2121200","3293","1659.3"
"233048000","2121200","3292","1666.3"
"234134000","2121200","3292","1673.4"
"235214000","2121200","3293","1681.9"
"236294000","2121200","3291","1688.9"
"237628000","2121200","3292","1698.8"
"238708000","2121200","3292","1705.9"
"239787000","2133200","3292","1714.4"
"240866000","2133200","3292","1721.4"
"241946000","2133200","3292","1728.5"
"243281000","2133200","3292","1738.4"
"244367000","2133200","3292","1745.4"
"245446000","2133200","3293","1752.5"
"246527000","2133200","3293","1761.0"
"247608000","2079200","3293","1768.0"
"248943000","2079200","3293","1777.9"
"250023000","2079200","3293","1785.0"
"251103000","2079200","3292","1792.0"
"252183000","2079200","3293","1800.5"
"253263000","2079200","3293","1807.6"
"254604000","2079200","3292","1817.4"
"255684000","2119500","3292","1824.5"
"256763000","2119500","3292","1831.6"
"257843000","2119500","3292","1840.0"
"258923000","2119500","3292","1847.1"
"260257000","2119500","3293","1857.0"
"261337000","2119500","3293","1864.0"
"262417000","2119500","3292","1871.1"
"263496000","2136400","3292","1879.6"
"264582000","2136400","3292","1886.6"
"265915000","2136400","3292","1896.5"
"266995000","2136400","3292","1903.6"
"268076000","2136400","3292","1910.6"
"269156000","2136400","3292","1919.1"
"270237000","2136400","3292","1926.2"
"271571000","2119900","3292","1936.1"
"272650000","2119900","3292","1943.1"
"273729000","2119900","3292","1950.2"
"274819000","2119900","3292","1958.7"
"275897000","2119900","3292","1965.7"
"277233000","2119900","3292","1975.6"
"278313000","2119900","3292","1982.7"
"279393000","2078800","3291","1989.7"
"280472000","2078800","3292","1998.2"
"281552000","2078800","3292","2005.3"
"282886000","2078800","3292","2015.1"
"283972000","2078800","3292","2022.2"
"285051000","2078800","3291","2029.3"
"286131000","2078800","3291","2037.7"
"287211000","2134800","3291","2044.8"
"288545000","2134800","3291","2054.7"
"289623000","2134800","3290","2061.7"
"290703000","2134800","3292","2068.8"
"291783000","2134800","3291","2077.3"
"292864000","2134800","3291","2084.3"
"294204000","2134800","3291","2094.2"
"295284000","2120400","3291","2101.3"
"296364000","2120400","3290","2108.3"
"297444000","2120400","3291","2116.8"
"298523000","2120400","3291","2123.9"
"299858000","2120400","3291","2133.8"
"300937000","2120400","3291","2140.8"
"302017000","2120400","3290","2147.9"
"303095000","2136800","3290","2156.4"
"304180000","2136800","3290","2163.4"
"305516000","2136800","3290","2173.3"
"306596000","2136800","3290","2180.4"
"307674000","2136800","3290","2187.4"
"308753000","2136800","3290","2195.9"
"309833000","2136800","3290","2203.0"
"311168000","2120400","3290","2212.9"
"312248000","2120400","3290","2219.9"
"313329000","2120400","3289","2227.0"
"314414000","2120400","3289","2235.5"
"315494000","2120400","3289","2242.5"
"316833000","2120400","3289","2252.4"
"317913000","2120400","3289","2259.5"
"318994000","2077600","3289","2266.5"
"320073000","2077600","3289","2275.0"
"321152000","2077600","3289","2282.1"
"322486000","2077600","3289","2291.9"
"323565000","2077600","3289","2299.0"
"324651000","2077600","3289","2306.1"
"325732000","2077600","3289","2314.5"
"326811000","2135000","3289","2321.6"
"328146000","2135000","3289","2331.5"
"329227000","2135000","3289","2338.5"
"330306000","2135000","3289","2345.6"
"331386000","2135000","3290","2354.1"
"332466000","2135000","3290","2361.1"
"333807000","2135000","3290","2369.6"
"334886000","2119900","3290","2378.1"
"335967000","2119900","3290","2385.1"
"337046000","2119900","3290","2392.2"
"338126000","2119900","3290","2400.7"
"339461000","2119900","3290","2409.1"
"340541000","2119900","3290","2417.6"
"341620000","2119900","3290","2424.7"
"342700000","2136100","3290","2433.2"
"343780000","2136100","3290","2440.2"
"345121000","2136100","3290","2450.1"
"346201000","2136100","3290","2457.2"
"347279000","2136100","3289","2464.2"
"348359000","2136100","3290","2471.3"
"349439000","2136100","3290","2479.8"
"350774000","2066700","3290","2488.2"
"351855000","2066700","3290","2496.7"
"352934000","2066700","3290","2503.8"
"354020000","2066700","3290","2512.2"
"355100000","2066700","3290","2519.3"
"356435000","2066700","3290","2529.2"
"357515000","2066700","3290","2536.2"
"358595000","2134100","3290","2543.3"
