Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3287","40.9"
"1079000","0","3282","48.0"
"2160000","2135700","3289","55.0"
"3239000","2135700","3289","63.5"
"4325000","2135700","3286","70.6"
"5664000","2135700","3292","80.5"
"6745000","2135700","3291","87.5"
"7824000","2135700","3289","94.6"
"8905000","2135700","3293","103.1"
"9984000","2133100","3292","110.1"
"11320000","2133100","3292","118.6"
"12400000","2133100","3291","127.1"
"13479000","2133100","3290","134.1"
"14565000","2133100","3292","142.6"
"15645000","2133100","3292","149.6"
"16979000","2133100","3291","159.5"
"18059000","2119900","3291","166.6"
"19139000","2119900","3291","173.7"
"20219000","2119900","3291","182.1"
"21298000","2119900","3291","189.2"
"22634000","2119900","3292","197.7"
"23713000","2119900","3292","206.1"
"24798000","2119900","3291","213.2"
"25878000","2079500","3293","220.3"
"26958000","2079500","3293","228.7"
"28293000","2079500","3292","237.2"
"29373000","2079500","3293","245.7"
"30453000","2079500","3292","252.7"
"31533000","2079500","3293","259.8"
"32613000","2079500","3293","268.3"
"33948000","2121100","3293","276.7"
"35034000","2121100","3293","285.2"
"36114000","2121100","3292","292.3"
"37194000","2121100","3293","300.8"
"38273000","2121100","3292","307.8"
"39608000","2121100","3292","317.7"
"40688000","2121100","3292","324.8"
"41767000","2134800","3292","331.8"
"42846000","2134800","3292","340.3"
"43925000","2134800","3292","347.4"
"45265000","2134800","3292","355.8"
"46346000","2134800","3292","364.3"
"47431000","2134800","3292","371.4"
"48510000","2134800","3292","379.8"
"49591000","2133200","3292","386.9"
"50926000","2133200","3292","396.8"
"52005000","2133200","3292","403.8"
"53086000","2133200","3292","410.9"
"54171000","2133200","3292","419.4"
"55251000","2133200","3291","426.4"
"56586000","2133200","3292","436.3"
"57666000","2119700","3292","443.4"
"58746000","2119700","3292","450.4"
"59825000","2119700","3292","458.9"
"60906000","2119700","3292","466.0"
"62241000","2119700","3291","474.4"
"63321000","2119700","3292","482.9"
"64406000","2119700","3292","490.0"
"65486000","2134500","3292","498.5"
"66564000","2134500","3292","505.5"
"67899000","2134500","3292","515.4"
"68979000","2134500","3291","522.5"
"70057000","2134500","3291","529.5"
"71137000","2134500","3291","538.0"
"72216000","2134500","3291","545.1"
"73552000","2068800","3291","553.5"
"74638000","2068800","3291","562.0"
"75717000","2068800","3291","569.1"
"76796000","2068800","3292","576.1"
"77875000","2068800","3292","584.6"
"79212000","2068800","3291","593.1"
"80291000","2068800","3291","601.6"
"81370000","2134600","3291","608.6"
"82451000","2134600","3291","617.1"
"83531000","2134600","3291","624.1"
"84872000","2134600","3292","634.0"
"85951000","2134600","3291","641.1"
"87031000","2134600","3291","648.2"
"88112000","2134600","3291","656.6"
"89196000","2132700","3291","663.7"
"90531000","2132700","3290","672.2"
"91609000","2132700","3291","680.6"
"92689000","2132700","3291","687.7"
"93768000","2132700","3291","694.8"
"94853000","2132700","3291","703.2"
"96188000","2132700","3290","711.7"
"97267000","2120900","3291","720.2"
"98347000","2120900","3291","727.2"
"99427000","2120900","3291","735.7"
"100507000","2120900","3291","742.8"
"101843000","2120900","3291","752.7"
"102922000","2120900","3290","759.7"
"104003000","2120900","3291","766.8"
"105088000","2134100","3290","775.3"
"106168000","2134100","3290","782.3"
"107504000","2134100","3291","792.2"
"108584000","2134100","3291","799.3"
"109664000","2134100","3291","806.3"
"110744000","2134100","3292","813.4"
"111824000","2134100","3292","821.9"
"113160000","2067300","3292","830.3"
"114245000","2067300","3292","838.8"
"115324000","2067300","3292","845.9"
"116405000","2067300","3291","854.3"
"117484000","2067300","3291","861.4"
"118819000","2067300","3292","871.3"
"119899000","2067300","3291","878.3"
"120979000","2134500","3292","885.4"
"122060000","2134500","3291","893.9"
"123139000","2134500","3291","900.9"
"124481000","2134500","3292","910.8"
"125561000","2134500","3292","917.9"
"126641000","2134500","3292","924.9"
"127721000","2134500","3292","933.4"
"128800000","2134100","3292","940.5"
"130135000","2134100","3292","950.4"
"131220000","2134100","3292","957.4"
"132300000","2134100","3293","964.5"
"133380000","2134100","3292","973.0"
"134465000","2134100","3292","980.0"
"135800000","2134100","3292","989.9"
"136880000","2118700","3292","997.0"
"137959000","2118700","3292","1004.0"
"139038000","2118700","3291","1012.5"
"140119000","2118700","3291","1019.6"
"141453000","2118700","3291","1029.5"
"142533000","2118700","3291","1036.5"
"143612000","2118700","3291","1043.6"
"144696000","2135400","3291","1052.0"
